# Residuals         
# Time              	p                   	Ux                  	Uy                  
0.745               	1.784295025953e-02	8.815551918713e-03	4.310162854752e-02
0.75                	1.822851634387e-02	8.788267373458e-03	4.401897356513e-02
0.755               	1.828961427746e-02	8.750788770740e-03	4.494380880403e-02
0.76                	1.842894035424e-02	8.711980863119e-03	4.578558402029e-02
0.765               	1.837754359710e-02	8.665404254166e-03	4.645938381098e-02
0.77                	1.857047680245e-02	8.602518389440e-03	4.713081674019e-02
0.775               	1.897255398858e-02	8.594417577156e-03	4.712893333205e-02
0.78                	1.889213817662e-02	8.660303998077e-03	4.633975081399e-02
0.785               	1.857228253432e-02	8.775921848266e-03	4.496230355544e-02
0.79                	1.798693460475e-02	8.972049810349e-03	4.336759409829e-02
0.795               	1.795264556061e-02	9.225907649828e-03	4.180724453926e-02
0.8                 	1.777726341652e-02	9.539307252303e-03	4.084924657685e-02
0.805               	1.773452824181e-02	9.892492791019e-03	4.051755054879e-02
0.81                	1.794443914563e-02	1.031724727139e-02	4.072936256286e-02
0.815               	1.821983615697e-02	1.079249633961e-02	4.148085250266e-02
0.82                	1.858953949613e-02	1.131055351778e-02	4.224972062209e-02
0.825               	1.884757579991e-02	1.190264158541e-02	4.294842877874e-02
0.83                	1.929300453107e-02	1.254975601059e-02	4.363530995475e-02
0.835               	1.990641146418e-02	1.334661534576e-02	4.453131380153e-02
0.84                	2.070928507682e-02	1.419122233011e-02	4.565082079504e-02
0.845               	2.164407548465e-02	1.513011721483e-02	4.703972501112e-02
0.85                	2.277609674093e-02	1.619948659891e-02	4.871415341518e-02
0.855               	2.351266778161e-02	1.736032998499e-02	5.097614661980e-02
0.86                	2.421339208469e-02	1.866355609115e-02	5.360727674601e-02
0.865               	2.492428536160e-02	2.009871833918e-02	5.650260358370e-02
0.87                	2.565588952670e-02	2.156035616689e-02	5.962789581155e-02
0.875               	2.618399297357e-02	2.304807484721e-02	6.283903006081e-02
0.88                	2.731609852085e-02	2.453325537563e-02	6.602130612071e-02
0.885               	2.799699626138e-02	2.597038722531e-02	6.907893975084e-02
0.89                	2.883496176399e-02	2.728798271663e-02	7.168818133924e-02
0.895               	2.913151743034e-02	2.841979341676e-02	7.378269137803e-02
0.9                 	2.942213373420e-02	2.940264059368e-02	7.529814991450e-02
0.905               	2.957032823813e-02	3.015305222820e-02	7.615480351984e-02
0.91                	2.928052468725e-02	3.073618557165e-02	7.634778466951e-02
0.915               	2.895231273161e-02	3.108586599810e-02	7.609425049374e-02
0.92                	2.832381571759e-02	3.126677181732e-02	7.564818112376e-02
0.925               	2.845283903838e-02	3.129249222347e-02	7.501261274194e-02
0.93                	2.858489577187e-02	3.122886184868e-02	7.442583747860e-02
0.935               	2.913302308699e-02	3.105110856574e-02	7.386241237728e-02
0.94                	2.986630606785e-02	3.087543814526e-02	7.350292566142e-02
0.945               	3.055557189659e-02	3.062765130964e-02	7.331512847691e-02
0.95                	3.142581739436e-02	3.042033952893e-02	7.341866544229e-02
0.955               	3.233284189901e-02	3.032164280465e-02	7.384327320469e-02
0.96                	3.408629614284e-02	3.013683817759e-02	7.420860411524e-02
0.965               	3.544758030027e-02	2.995015194824e-02	7.491677016887e-02
0.97                	3.619191714548e-02	2.974828708635e-02	7.552945370922e-02
0.975               	3.796628385494e-02	2.947802693791e-02	7.589177491600e-02
0.98                	4.101112730195e-02	2.903598462178e-02	7.613528300001e-02
0.985               	3.884756805145e-02	2.856953967808e-02	7.612703775213e-02
0.99                	3.822850571228e-02	2.798422613960e-02	7.607328877905e-02
0.995               	3.757123677146e-02	2.730220944727e-02	7.596152752671e-02
1                   	3.713889566484e-02	2.662353304501e-02	7.609430527142e-02
1.005               	3.719402068354e-02	2.599523992754e-02	7.635482318084e-02
1.01                	3.541057952985e-02	2.549981406660e-02	7.695800478615e-02
1.015               	3.381845332675e-02	2.522953760117e-02	7.693507852364e-02
1.02                	3.293807235174e-02	2.518726930277e-02	7.608761917577e-02
1.025               	3.272238360615e-02	2.526256038907e-02	7.442853920349e-02
1.03                	3.265145545351e-02	2.532216871514e-02	7.243849117218e-02
1.035               	3.308443551649e-02	2.526330837176e-02	7.037769603560e-02
1.04                	3.385295784420e-02	2.503403438138e-02	6.872172869940e-02
1.045               	3.493510173564e-02	2.471950203476e-02	6.761509403186e-02
1.05                	3.632990915567e-02	2.430063692658e-02	6.698032101599e-02
1.055               	3.697853884439e-02	2.381908184862e-02	6.668569194001e-02
1.06                	3.779700305038e-02	2.340833232225e-02	6.688226017120e-02
1.065               	3.865540771916e-02	2.311299440988e-02	6.759335494307e-02
1.07                	3.877025196554e-02	2.286818920971e-02	6.858106369764e-02
1.075               	3.905408046822e-02	2.267945699691e-02	6.978440634364e-02
1.08                	3.967093712656e-02	2.258705975847e-02	7.050610145574e-02
1.085               	3.992527796847e-02	2.257948323889e-02	7.048707267035e-02
1.09                	3.987166532707e-02	2.265234423159e-02	6.982516149519e-02
1.095               	3.978524122188e-02	2.282464707232e-02	6.892047172434e-02
1.1                 	3.986298012251e-02	2.309143874890e-02	6.827044825088e-02
1.105               	4.017267627553e-02	2.352008258011e-02	6.816330323879e-02
1.11                	4.013314318268e-02	2.406466799402e-02	6.859318398608e-02
1.115               	4.015891193182e-02	2.469332185557e-02	6.946590042986e-02
1.12                	4.022428940721e-02	2.541796242514e-02	7.056199377147e-02
1.125               	4.038899108576e-02	2.614512984097e-02	7.134333742897e-02
1.13                	4.034956064898e-02	2.683021429687e-02	7.146211640400e-02
1.135               	3.956913116460e-02	2.744432816382e-02	7.038470520723e-02
1.14                	3.790781874255e-02	2.795014971930e-02	6.856090074870e-02
1.145               	3.717325225001e-02	2.831461694866e-02	6.651327907829e-02
1.15                	3.585626794319e-02	2.849387649168e-02	6.456406154320e-02
1.155               	3.483641376523e-02	2.852438343373e-02	6.303334299737e-02
1.16                	3.449790578005e-02	2.839789945448e-02	6.186934552568e-02
1.165               	3.461490544993e-02	2.811469703263e-02	6.103271929543e-02
1.17                	3.488557964265e-02	2.786269560932e-02	6.069661186546e-02
1.175               	3.544154145912e-02	2.780432663215e-02	6.084215922836e-02
1.18                	3.638841853225e-02	2.794879629837e-02	6.153799212506e-02
