# Forces            
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              forces(pressure viscous porous)	moments(pressure viscous porous)
0.215               	((-1.381941771925e-02 -1.032039589289e-01 -1.831934528789e-22) (-1.597705123597e-01 4.236508244853e-05 5.511931782030e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.096802942963e-21 1.316636085573e-21 -8.164374169026e-01) (3.322112717250e-18 -3.035245028461e-18 9.588765130669e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.22                	((-1.540902247162e-02 -1.071361885782e-01 -1.404193396964e-24) (-1.631438035375e-01 4.741148913286e-05 1.744665846194e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.227935866973e-23 -3.511301165183e-23 -8.442157335689e-01) (1.045572506337e-17 -1.414742897037e-17 9.791255152110e-01) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.225               	((-1.701720945117e-02 -1.113893666091e-01 9.647133398852e-23) (-1.678754766944e-01 5.503938330725e-05 -1.416860862302e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((5.728523653685e-22 -6.477338235795e-22 -8.705590881777e-01) (-8.497126210257e-18 1.152992024877e-17 1.007559712103e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.23                	((-1.861787391061e-02 -1.153149474734e-01 8.754384233317e-23) (-1.739298152337e-01 4.378560061714e-05 -7.244007848226e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((5.238027942203e-22 -6.494363804264e-22 -8.927296505969e-01) (-4.344502291698e-18 8.002563178383e-18 1.043772247608e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.235               	((-2.016446965873e-02 -1.163754123900e-01 2.405002576829e-22) (-1.811957748830e-01 3.879266129656e-05 -1.637477238439e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((1.446304136437e-21 -1.744760365006e-21 -8.921190810516e-01) (-9.804538865422e-18 1.245966135927e-17 1.087312281943e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.24                	((-2.159265125160e-02 -1.126796791006e-01 -2.068878530026e-22) (-1.895158653102e-01 2.432616725594e-05 6.243324776188e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.249230583983e-21 1.375296297628e-21 -8.582832364142e-01) (3.779748888617e-18 -3.334443907689e-18 1.137084792363e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.245               	((-2.285712017364e-02 -1.063238664899e-01 -1.465307538595e-22) (-1.984278581374e-01 1.462285204112e-05 9.231653311829e-22) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-8.860746708085e-22 1.000156994227e-21 -8.045009130631e-01) (1.433649307325e-20 1.129102627688e-18 1.190428092455e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.25                	((-2.393530520627e-02 -9.928298877640e-02 -1.741680704817e-22) (-2.076364404378e-01 1.248858211962e-05 -1.956259221525e-18) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-1.040054918318e-21 1.276975191265e-21 -7.455152031489e-01) (-1.172903547900e-17 1.530644146409e-17 1.245604079600e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.255               	((-2.471325106351e-02 -9.116458433920e-02 7.697506963900e-23) (-2.167327259661e-01 -1.614256548379e-06 6.254112112673e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((4.748086835991e-22 -3.653579094067e-22 -6.762791532645e-01) (3.770600772416e-18 -5.013947608982e-18 1.299983257069e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
0.26                	((-2.511446236305e-02 -7.991180522207e-02 -9.190232258047e-23) (-2.253136020306e-01 -2.745401889965e-05 8.464508839173e-19) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)) ((-5.835054662444e-22 5.118148406421e-22 -5.861238843558e-01) (5.049509611887e-18 -7.610941744701e-18 1.351155643462e+00) (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00))
